N,decode,gop,inf_per_s_per_stream,skip,decoded_per_s,offered_per_s,hold_pct,pre_ms,queue_ms,gpu_ms,total_ms,nvdec_pct,sm_pct,vram_mb,plates,bottleneck
1,all,30,30.0000,1,29.8,30.0,99.3,0.11,0.05,1.90,2.06,16,5,0,750,none(offered-bound)
1,all,30,15.0000,2,29.6,30.0,98.7,0.11,0.02,1.95,2.08,16,2,1687,539,none(offered-bound)
1,all,30,10.0000,3,29.6,30.0,98.7,0.12,0.01,1.87,2.00,15,2,0,212,none(offered-bound)
1,all,30,7.5000,4,29.6,30.0,98.7,0.11,0.02,1.88,2.01,16,2,0,161,none(offered-bound)
1,all,30,5.0000,6,29.6,30.0,98.7,0.12,0.02,1.94,2.08,16,0,0,149,none(offered-bound)
1,all,30,3.7500,8,29.6,30.0,98.7,0.12,0.02,1.97,2.11,16,0,0,116,none(offered-bound)
1,all,30,2.5000,12,29.6,30.0,98.7,0.12,0.02,1.99,2.13,17,2,1692,57,none(offered-bound)
1,all,30,2.0000,15,29.4,30.0,98.0,0.11,0.02,1.99,2.12,17,0,0,43,none(offered-bound)
1,all,30,1.2500,24,29.6,30.0,98.7,0.12,0.02,2.14,2.28,15,0,1692,51,none(offered-bound)
1,all,30,1.0000,30,29.8,30.0,99.3,0.12,0.02,2.08,2.22,16,0,0,25,none(offered-bound)
1,all,30,0.6667,45,29.6,30.0,98.7,0.12,0.02,2.08,2.22,15,0,1692,15,none(offered-bound)
1,all,30,0.5000,60,29.4,30.0,98.0,0.12,0.02,2.04,2.18,15,0,0,10,none(offered-bound)
1,all,30,0.3333,90,29.6,30.0,98.7,0.12,0.02,2.23,2.37,16,1,0,13,none(offered-bound)
1,all,30,0.2000,150,29.6,30.0,98.7,0.16,0.02,2.07,2.25,16,1,0,2,none(offered-bound)
4,all,30,30.0000,1,116.9,120.0,97.4,0.22,0.25,2.06,2.53,65,18,0,2351,none(offered-bound)
4,all,30,15.0000,2,116.9,120.0,97.4,0.40,0.19,1.99,2.58,65,12,0,2271,none(offered-bound)
4,all,30,10.0000,3,116.9,120.0,97.4,0.30,0.06,1.89,2.25,64,8,0,956,none(offered-bound)
4,all,30,7.5000,4,116.9,120.0,97.4,0.36,0.08,1.86,2.30,63,7,0,637,none(offered-bound)
4,all,30,5.0000,6,116.9,120.0,97.4,0.22,0.02,1.84,2.08,64,6,0,473,none(offered-bound)
4,all,30,3.7500,8,116.9,120.0,97.4,0.43,0.09,2.00,2.52,65,3,0,536,none(offered-bound)
4,all,30,2.5000,12,116.9,120.0,97.4,0.17,0.02,1.86,2.05,64,3,0,210,none(offered-bound)
