N,decode,gop,inf_per_s_per_stream,skip,decoded_per_s,offered_per_s,hold_pct,pre_ms,queue_ms,gpu_ms,total_ms,nvdec_pct,sm_pct,vram_mb,plates,bottleneck
1,all,30,30.0000,1,29.7,30.0,99.0,0.06,0.09,1.93,2.08,2,6,0,827,none(offered-bound)
1,all,30,15.0000,2,29.8,30.0,99.3,0.04,0.02,1.96,2.02,2,2,0,533,none(offered-bound)
1,all,30,10.0000,3,29.6,30.0,98.7,0.05,0.03,1.89,1.97,2,2,1957,214,none(offered-bound)
1,all,30,7.5000,4,29.6,30.0,98.7,0.04,0.02,1.88,1.94,2,2,0,165,none(offered-bound)
1,all,30,5.0000,6,29.4,30.0,98.0,0.04,0.02,1.91,1.97,3,2,0,157,none(offered-bound)
1,all,30,3.7500,8,29.6,30.0,98.7,0.04,0.02,1.98,2.04,3,0,1920,115,none(offered-bound)
1,all,30,2.5000,12,29.6,30.0,98.7,0.04,0.02,1.96,2.02,2,0,1920,56,none(offered-bound)
1,all,30,2.0000,15,29.4,30.0,98.0,0.04,0.03,1.96,2.03,2,0,0,50,none(offered-bound)
1,all,30,1.2500,24,29.8,30.0,99.3,0.06,0.02,2.10,2.18,2,0,0,44,none(offered-bound)
1,all,30,1.0000,30,29.6,30.0,98.7,0.05,0.02,2.04,2.11,2,0,0,26,none(offered-bound)
1,all,30,0.6667,45,29.6,30.0,98.7,0.05,0.02,2.06,2.13,2,0,1920,16,none(offered-bound)
1,all,30,0.5000,60,29.4,30.0,98.0,0.05,0.02,2.13,2.20,2,0,0,13,none(offered-bound)
1,all,30,0.3333,90,29.6,30.0,98.7,0.06,0.02,2.21,2.29,2,0,1908,11,none(offered-bound)
1,all,30,0.2000,150,29.8,30.0,99.3,0.06,0.02,2.17,2.25,2,0,0,4,none(offered-bound)
4,all,30,30.0000,1,116.9,120.0,97.4,0.05,0.35,1.92,2.32,9,17,0,2619,none(offered-bound)
4,all,30,15.0000,2,117.6,120.0,98.0,0.05,0.07,1.96,2.08,9,10,0,2235,none(offered-bound)
4,all,30,10.0000,3,116.8,120.0,97.3,0.05,0.02,1.88,1.95,9,5,0,971,none(offered-bound)
4,all,30,7.5000,4,116.9,120.0,97.4,0.06,0.03,1.87,1.96,9,5,0,680,none(offered-bound)
4,all,30,5.0000,6,118.3,120.0,98.6,0.06,0.02,1.86,1.94,9,4,1989,506,none(offered-bound)
4,all,30,3.7500,8,116.9,120.0,97.4,0.05,0.05,1.97,2.07,9,4,0,535,none(offered-bound)
4,all,30,2.5000,12,116.8,120.0,97.3,0.04,0.01,1.89,1.94,9,2,0,228,none(offered-bound)
4,all,30,2.0000,15,117.6,120.0,98.0,0.05,0.02,1.89,1.96,9,0,0,179,none(offered-bound)
4,all,30,1.2500,24,116.9,120.0,97.4,0.04,0.02,2.00,2.06,9,1,0,183,none(offered-bound)
4,all,30,1.0000,30,116.9,120.0,97.4,0.04,0.02,1.96,2.02,9,0,0,104,none(offered-bound)
4,all,30,0.6667,45,116.8,120.0,97.3,0.05,0.02,1.94,2.01,9,0,0,59,none(offered-bound)
4,all,30,0.5000,60,116.9,120.0,97.4,0.08,0.02,1.93,2.03,9,1,0,49,none(offered-bound)
4,all,30,0.3333,90,116.9,120.0,97.4,0.05,0.02,2.10,2.17,9,0,0,53,none(offered-bound)
4,all,30,0.2000,150,116.9,120.0,97.4,0.09,0.02,2.00,2.11,9,0,0,20,none(offered-bound)
8,all,30,30.0000,1,233.8,240.0,97.4,0.07,0.25,1.90,2.22,18,36,0,5060,none(offered-bound)
8,all,30,15.0000,2,233.9,240.0,97.5,0.07,0.08,1.95,2.10,18,20,0,4478,none(offered-bound)
8,all,30,10.0000,3,233.7,240.0,97.4,0.07,0.05,1.89,2.01,18,13,0,2007,none(offered-bound)
