N,decode,gop,inf_per_s_per_stream,skip,decoded_per_s,offered_per_s,hold_pct,pre_ms,queue_ms,gpu_ms,total_ms,nvdec_pct,sm_pct,vram_mb,plates,bottleneck
1,all,30,30.0000,1,29.3,30.0,97.7,0.06,0.06,1.86,1.98,4,4,2008,675,none(offered-bound)
8,all,30,30.0000,1,234.1,240.0,97.5,0.06,0.22,1.88,2.16,33,39,2296,6312,none(offered-bound)
8,all,30,15.0000,2,234.0,240.0,97.5,0.05,0.03,1.90,1.98,31,20,2296,3622,none(offered-bound)
8,all,30,10.0000,3,233.8,240.0,97.4,0.05,0.03,1.87,1.95,33,14,2298,2177,none(offered-bound)
8,all,30,5.0000,6,232.7,240.0,97.0,0.05,0.02,1.80,1.87,33,6,2296,682,none(offered-bound)
8,all,30,2.0000,15,234.6,240.0,97.8,0.06,0.01,1.93,2.00,33,4,2296,493,none(offered-bound)
16,all,30,30.0000,1,469.2,480.0,97.8,0.06,0.64,1.97,2.67,66,70,2642,12994,none(offered-bound)
16,all,30,15.0000,2,467.9,480.0,97.5,0.05,0.11,1.85,2.01,65,37,2651,5579,none(offered-bound)
16,all,30,10.0000,3,468.1,480.0,97.5,0.06,0.15,1.88,2.09,66,27,2641,3885,none(offered-bound)
16,all,30,5.0000,6,467.8,480.0,97.5,0.06,0.03,1.92,2.01,64,13,2641,2470,none(offered-bound)
16,all,30,2.0000,15,465.4,480.0,97.0,0.06,0.02,1.90,1.98,66,6,2642,900,none(offered-bound)
32,all,30,30.0000,1,729.0,960.0,75.9,0.06,0.98,2.08,3.12,100,86,3330,17081,NVDEC
32,all,30,15.0000,2,708.3,960.0,73.8,0.05,0.61,1.99,2.65,100,53,3332,9558,NVDEC
32,all,30,10.0000,3,712.3,960.0,74.2,0.05,0.25,1.87,2.17,100,40,3330,7801,NVDEC
32,all,30,5.0000,6,715.1,960.0,74.5,0.05,0.08,1.90,2.03,100,20,3331,4586,NVDEC
32,all,30,2.0000,15,715.0,960.0,74.5,0.05,0.11,1.92,2.08,100,8,3330,1932,NVDEC
50,all,30,30.0000,1,729.8,1500.0,48.7,0.06,1.13,2.29,3.48,100,86,4102,45519,NVDEC
50,all,30,15.0000,2,715.0,1500.0,47.7,0.06,0.38,1.90,2.34,100,58,4102,18341,NVDEC
50,all,30,10.0000,3,716.9,1500.0,47.8,0.06,0.32,1.93,2.31,100,38,4099,13721,NVDEC
50,all,30,5.0000,6,718.8,1500.0,47.9,0.05,0.09,1.86,2.00,100,20,4103,5643,NVDEC
50,all,30,2.0000,15,721.1,1500.0,48.1,0.06,0.08,1.90,2.04,100,9,4102,2442,NVDEC
32,key30,30,1.0000,1,31.8,32.0,99.4,0.06,0.04,1.92,2.02,5,5,3328,904,none(offered-bound)
50,key30,30,1.0000,1,49.7,50.0,99.4,0.06,0.07,1.94,2.07,8,8,4106,1223,none(offered-bound)
75,key30,30,1.0000,1,74.7,75.0,99.6,0.09,0.84,2.25,3.18,11,11,5180,2392,none(offered-bound)
100,key30,30,1.0000,1,99.4,100.0,99.4,0.09,3.49,2.28,5.86,16,15,6254,2752,none(offered-bound)
100,key150,150,0.2000,1,19.9,20.0,99.5,0.15,3.16,5.29,8.60,3,3,6256,432,none(offered-bound)
