N,decode,gop,inf_per_s_per_stream,skip,achieved_fps,offered_per_s,hold_pct,post_decode_ms,nvdec_pct,sm_pct,note
1,all,30,30.0000,1,30.04,30.0,100.1,1.92,7,5,
8,all,30,30.0000,1,240.68,240.0,100.3,8.30,58,27,
8,all,30,15.0000,2,240.59,240.0,100.2,5.22,56,14,latency mixes inferred and skipped frames
8,all,30,10.0000,3,240.56,240.0,100.2,5.22,57,11,latency mixes inferred and skipped frames
8,all,30,5.0000,6,240.50,240.0,100.2,5.22,56,7,latency mixes inferred and skipped frames
16,all,30,30.0000,1,421.90,480.0,87.9,8.19,100,46,
16,all,30,15.0000,2,424.89,480.0,88.5,8.09,100,25,latency mixes inferred and skipped frames
16,all,30,10.0000,3,427.42,480.0,89.0,5.45,100,18,latency mixes inferred and skipped frames
16,all,30,5.0000,6,427.95,480.0,89.2,5.31,100,10,latency mixes inferred and skipped frames
16,all,30,2.0000,15,428.85,480.0,89.3,5.46,100,6,latency mixes inferred and skipped frames
32,all,30,30.0000,1,426.01,960.0,44.4,8.53,100,45,
32,all,30,15.0000,2,429.81,960.0,44.8,6.23,100,25,latency mixes inferred and skipped frames
32,all,30,10.0000,3,430.04,960.0,44.8,5.50,100,18,latency mixes inferred and skipped frames
32,all,30,5.0000,6,431.46,960.0,44.9,5.46,100,11,latency mixes inferred and skipped frames
32,all,30,2.0000,15,433.27,960.0,45.1,5.63,100,7,latency mixes inferred and skipped frames
32,key30,30,1.0000,1,31.45,32.0,98.3,NA,8,5,
50,key30,30,1.0000,1,49.16,50.0,98.3,NA,13,8,
75,key30,30,1.0000,1,73.62,75.0,98.2,NA,17,9,
8,all,30,2.0000,15,240.40,240.0,100.2,5.07,57,4,latency mixes inferred and skipped frames
