N,decode,gop,inf_per_s_per_stream,skip,decoded_per_s,offered_per_s,hold_pct,pre_ms,queue_ms,gpu_ms,total_ms,nvdec_pct,sm_pct,vram_mb,plates,bottleneck
1,all,30,30.0000,1,30.0,30.0,100.0,0.16,0.03,1.84,2.03,15,5,2103,564,none(offered-bound)
4,all,30,30.0000,1,117.2,120.0,97.7,0.15,0.01,1.86,2.02,61,21,2505,3580,none(offered-bound)
4,all,30,15.0000,2,117.0,120.0,97.5,0.15,0.01,1.83,1.99,62,12,2507,1558,none(offered-bound)
4,all,30,10.0000,3,117.4,120.0,97.8,0.15,0.02,1.83,2.00,62,7,2506,929,none(offered-bound)
4,all,30,5.0000,6,117.1,120.0,97.6,0.15,0.02,1.86,2.03,62,4,2505,423,none(offered-bound)
4,all,30,2.0000,15,117.0,120.0,97.5,0.15,0.02,1.93,2.10,63,3,2505,253,none(offered-bound)
8,all,30,30.0000,1,187.2,240.0,78.0,0.15,0.01,1.83,1.99,100,33,3051,6292,NVDEC
8,all,30,15.0000,2,187.9,240.0,78.3,0.15,0.01,1.83,1.99,100,17,3051,3020,NVDEC
8,all,30,10.0000,3,188.3,240.0,78.5,0.15,0.01,1.81,1.97,100,11,3051,1599,NVDEC
8,all,30,5.0000,6,189.5,240.0,79.0,0.15,0.01,1.78,1.94,100,6,3051,676,NVDEC
8,all,30,2.0000,15,189.1,240.0,78.8,0.15,0.01,1.85,2.01,100,3,3051,365,NVDEC
16,all,30,30.0000,1,189.6,480.0,39.5,0.15,0.01,1.87,2.03,100,35,4153,14911,NVDEC
16,all,30,15.0000,2,190.7,480.0,39.7,0.15,0.01,1.83,1.99,100,17,4151,6070,NVDEC
16,all,30,10.0000,3,190.6,480.0,39.7,0.15,0.01,1.80,1.96,100,11,4150,3240,NVDEC
16,all,30,5.0000,6,191.0,480.0,39.8,0.15,0.01,1.84,2.00,100,7,4151,1909,NVDEC
16,all,30,2.0000,15,191.1,480.0,39.8,0.15,0.01,1.91,2.07,100,3,4151,992,NVDEC
16,key30,30,1.0000,1,16.0,16.0,100.0,0.16,0.02,1.85,2.03,6,2,4151,330,none(offered-bound)
32,key30,30,1.0000,1,31.8,32.0,99.4,0.19,0.20,2.11,2.50,20,7,6342,1019,none(offered-bound)
32,key150,150,0.2000,1,6.4,6.4,100.0,0.17,0.06,2.35,2.58,5,2,6341,118,none(offered-bound)
