N,decode,gop,inf_per_s_per_stream,skip,achieved_fps,offered_per_s,hold_pct,post_decode_ms,nvdec_pct,sm_pct,note
1,all,30,30.0000,1,30.22,30.0,100.7,1.89,15,5,
4,all,30,30.0000,1,120.21,120.0,100.2,7.81,62,14,
4,all,30,15.0000,2,120.15,120.0,100.1,7.35,61,8,latency mixes inferred and skipped frames
4,all,30,10.0000,3,120.30,120.0,100.2,5.23,63,6,latency mixes inferred and skipped frames
4,all,30,5.0000,6,120.29,120.0,100.2,5.24,61,4,latency mixes inferred and skipped frames
4,all,30,2.0000,15,120.19,120.0,100.2,5.23,61,2,latency mixes inferred and skipped frames
8,all,30,30.0000,1,193.51,240.0,80.6,6.93,100,31,
8,all,30,15.0000,2,193.98,240.0,80.8,6.85,100,17,latency mixes inferred and skipped frames
8,all,30,10.0000,3,194.26,240.0,80.9,5.23,100,13,latency mixes inferred and skipped frames
8,all,30,5.0000,6,194.19,240.0,80.9,5.22,100,8,latency mixes inferred and skipped frames
8,all,30,2.0000,15,194.25,240.0,80.9,5.21,100,5,latency mixes inferred and skipped frames
16,all,30,30.0000,1,193.92,480.0,40.4,6.93,100,30,
16,all,30,15.0000,2,194.54,480.0,40.5,6.87,100,18,latency mixes inferred and skipped frames
16,all,30,10.0000,3,194.59,480.0,40.5,5.24,100,13,latency mixes inferred and skipped frames
16,all,30,5.0000,6,195.07,480.0,40.6,5.23,100,8,latency mixes inferred and skipped frames
16,all,30,2.0000,15,195.20,480.0,40.7,5.23,100,5,latency mixes inferred and skipped frames
16,key30,30,1.0000,1,15.83,16.0,98.9,NA,5,2,
32,key30,30,1.0000,1,31.53,32.0,98.5,NA,17,5,
