
=== 720p: shared cells (hold %, post-decode ms, NVDEC %)  PyCamTRT | DeepStream tuned   [DeepStream ms at skip>1 averages inferred AND skipped frames; compare latency at skip 1 only]
   N decode skip  inf/s |   hold     ms nvdec |   hold     ms nvdec
   1 all       1   30.0 |   97.3    2.0     2 |  100.6    2.2     2
   8 all       1   30.0 |   97.7    2.1    16 |  100.0    8.0    15
  16 all       1   30.0 |   97.1    2.8    31 |  100.4    7.2    32
  32 all       1   30.0 |   97.2    4.4    64 |  101.0    7.9    66
  50 all       1   30.0 |   95.9   11.8   100 |  101.1   11.3   100
  75 all       1   30.0 |   63.8   11.7   100 |   69.8   15.4   100
   8 all       2   15.0 |   97.5    2.0    16 |  100.1    4.9    16
  16 all       2   15.0 |   96.9    2.1    31 |  100.2    5.6    32
  32 all       2   15.0 |   97.1    2.9    63 |  100.7    6.0    63
  50 all       2   15.0 |   97.1    3.4   100 |  100.4   12.8   100
  75 all       2   15.0 |   64.3    5.5   100 |   68.0   13.5   100
   8 all       3   10.0 |   97.5    2.0    16 |  100.2    4.9    15
  16 all       3   10.0 |   97.1    2.1    32 |  100.5    2.9    31
  32 all       3   10.0 |   97.0    2.5    63 |  100.9    1.8    64
  50 all       3   10.0 |   97.2    2.7   100 |  101.2    4.3   100
  75 all       3   10.0 |   65.6    3.5   100 |   68.8    8.6   100
   8 all       6    5.0 |   97.7    1.9    15 |  100.1    4.9    16
  16 all       6    5.0 |   97.0    2.0    31 |  100.1    2.8    32
  32 all       6    5.0 |   97.1    2.1    63 |  101.0    1.7    63
  50 all       6    5.0 |   97.2    2.2   100 |  101.1    2.2    99
  75 all       6    5.0 |   66.5    2.8   100 |   69.7    7.4   100
   8 all      15    2.0 |   97.1    2.0    15 |  100.1    4.9    15
  16 all      15    2.0 |   97.1    1.9    32 |  100.1    3.2    31
  32 all      15    2.0 |   97.1    1.9    63 |  100.7    1.6    61
  50 all      15    2.0 |   97.1    2.1   100 |  101.1    2.0    98
  75 all      15    2.0 |   66.8    2.4   100 |   69.9    7.4   100
  32 key30     1    1.0 |   99.4    2.0     4 |   98.6    nan     3
  50 key30     1    1.0 |   99.6    2.0     6 |   98.2    nan     5
  75 key30     1    1.0 |   99.6    2.7     8 |   98.2    nan     8
 100 key30     1    1.0 |   99.6    5.8    10 |   98.3    nan    11
  cameras held per inference rate (inf/s per camera): 30/s: Py 50 DS 50  15/s: Py 50 DS 50  10/s: Py 50 DS 50  5/s: Py 50 DS 50  2/s: Py 50 DS 50  1/s: Py 100 DS 100  0.2/s: Py 100 DS -

=== 1080p: shared cells (hold %, post-decode ms, NVDEC %)  PyCamTRT | DeepStream tuned   [DeepStream ms at skip>1 averages inferred AND skipped frames; compare latency at skip 1 only]
   N decode skip  inf/s |   hold     ms nvdec |   hold     ms nvdec
   1 all       1   30.0 |   97.7    2.0     4 |  100.6    2.0     4
   8 all       1   30.0 |   97.5    2.2    33 |  100.1    5.8    34
  16 all       1   30.0 |   97.8    2.7    66 |  100.4    5.3    68
  32 all       1   30.0 |   75.9    3.1   100 |   74.9   10.1   100
  50 all       1   30.0 |   48.7    3.5   100 |   48.6   10.4   100
   8 all       2   15.0 |   97.5    2.0    31 |  100.3    4.8    32
  16 all       2   15.0 |   97.5    2.0    65 |  100.4    2.0    67
  32 all       2   15.0 |   73.8    2.6   100 |   75.9    9.7   100
  50 all       2   15.0 |   47.7    2.3   100 |   49.3    9.9   100
   8 all       3   10.0 |   97.4    1.9    33 |  100.3    2.5    34
  16 all       3   10.0 |   97.5    2.1    66 |  100.4    0.9    66
  32 all       3   10.0 |   74.2    2.2   100 |   76.3    6.5   100
  50 all       3   10.0 |   47.8    2.3   100 |   49.6    6.7   100
   8 all       6    5.0 |   97.0    1.9    33 |  100.2    2.5    33
  16 all       6    5.0 |   97.5    2.0    64 |  100.4    0.7    66
  32 all       6    5.0 |   74.5    2.0   100 |   76.6    6.6   100
  50 all       6    5.0 |   47.9    2.0   100 |   49.8    6.5   100
   8 all      15    2.0 |   97.8    2.0    33 |  100.1    2.4    32
  16 all      15    2.0 |   97.0    2.0    66 |  100.3    0.7    65
  32 all      15    2.0 |   74.5    2.1   100 |   77.2    6.5   100
  50 all      15    2.0 |   48.1    2.0   100 |   50.1    6.5   100
  32 key30     1    1.0 |   99.4    2.0     5 |   98.3    nan     5
  50 key30     1    1.0 |   99.4    2.1     8 |   98.4    nan     7
  75 key30     1    1.0 |   99.6    3.2    11 |   98.3    nan    11
 100 key30     1    1.0 |   99.4    5.9    16 |   98.0    nan    17
  cameras held per inference rate (inf/s per camera): 30/s: Py 16 DS 16  15/s: Py 16 DS 16  10/s: Py 16 DS 16  5/s: Py 16 DS 16  2/s: Py 16 DS 16  1/s: Py 100 DS 100  0.2/s: Py 100 DS -

=== 1440p: shared cells (hold %, post-decode ms, NVDEC %)  PyCamTRT | DeepStream tuned   [DeepStream ms at skip>1 averages inferred AND skipped frames; compare latency at skip 1 only]
   N decode skip  inf/s |   hold     ms nvdec |   hold     ms nvdec
   1 all       1   30.0 |   98.3    2.0     7 |  100.1    1.9     7
   8 all       1   30.0 |   97.4    2.0    55 |  100.3    8.3    58
  16 all       1   30.0 |   85.6    1.9   100 |   87.9    8.2   100
  32 all       1   30.0 |   42.6    2.0   100 |   44.4    8.5   100
   8 all       2   15.0 |   97.0    1.9    55 |  100.2    5.2    56
  16 all       2   15.0 |   86.1    1.9   100 |   88.5    8.1   100
  32 all       2   15.0 |   42.9    1.9   100 |   44.8    6.2   100
   8 all       3   10.0 |   97.4    1.9    57 |  100.2    5.2    57
  16 all       3   10.0 |   86.5    1.9   100 |   89.0    5.5   100
  32 all       3   10.0 |   43.6    2.0   100 |   44.8    5.5   100
   8 all       6    5.0 |   97.5    1.9    56 |  100.2    5.2    56
  16 all       6    5.0 |   86.6    2.0   100 |   89.2    5.3   100
  32 all       6    5.0 |   43.7    2.0   100 |   44.9    5.5   100
   8 all      15    2.0 |   97.5    2.0    58 |  100.2    5.1    57
  16 all      15    2.0 |   86.6    2.0   100 |   89.3    5.5   100
  32 all      15    2.0 |   43.4    2.0   100 |   45.1    5.6   100
  32 key30     1    1.0 |   99.4    2.0    10 |   98.3    nan     8
  50 key30     1    1.0 |   99.4    2.5    13 |   98.3    nan    13
  75 key30     1    1.0 |   99.5    8.7    19 |   98.2    nan    17
  cameras held per inference rate (inf/s per camera): 30/s: Py 8 DS 8  15/s: Py 8 DS 8  10/s: Py 8 DS 8  5/s: Py 8 DS 8  2/s: Py 8 DS 8  1/s: Py 75 DS 75  0.2/s: Py 0 DS -

=== 4k: shared cells (hold %, post-decode ms, NVDEC %)  PyCamTRT | DeepStream tuned   [DeepStream ms at skip>1 averages inferred AND skipped frames; compare latency at skip 1 only]
   N decode skip  inf/s |   hold     ms nvdec |   hold     ms nvdec
   1 all       1   30.0 |  100.0    2.0    15 |  100.7    1.9    15
   4 all       1   30.0 |   97.7    2.0    61 |  100.2    7.8    62
   8 all       1   30.0 |   78.0    2.0   100 |   80.6    6.9   100
  16 all       1   30.0 |   39.5    2.0   100 |   40.4    6.9   100
   4 all       2   15.0 |   97.5    2.0    62 |  100.1    7.3    61
   8 all       2   15.0 |   78.3    2.0   100 |   80.8    6.8   100
  16 all       2   15.0 |   39.7    2.0   100 |   40.5    6.9   100
   4 all       3   10.0 |   97.8    2.0    62 |  100.2    5.2    63
   8 all       3   10.0 |   78.5    2.0   100 |   80.9    5.2   100
  16 all       3   10.0 |   39.7    2.0   100 |   40.5    5.2   100
   4 all       6    5.0 |   97.6    2.0    62 |  100.2    5.2    61
   8 all       6    5.0 |   79.0    1.9   100 |   80.9    5.2   100
  16 all       6    5.0 |   39.8    2.0   100 |   40.6    5.2   100
   4 all      15    2.0 |   97.5    2.1    63 |  100.2    5.2    61
   8 all      15    2.0 |   78.8    2.0   100 |   80.9    5.2   100
  16 all      15    2.0 |   39.8    2.1   100 |   40.7    5.2   100
  16 key30     1    1.0 |  100.0    2.0     6 |   98.9    nan     5
  32 key30     1    1.0 |   99.4    2.5    20 |   98.5    nan    17
  cameras held per inference rate (inf/s per camera): 30/s: Py 4 DS 4  15/s: Py 4 DS 4  10/s: Py 4 DS 4  5/s: Py 4 DS 4  2/s: Py 4 DS 4  1/s: Py 32 DS 32  0.2/s: Py 32 DS -
wrote docs/img/dials_vs_deepstream.png
