res,system,N,offered_fps,achieved_fps,hold_pct,post_decode_ms,gpu_util_pct,note
720p,deepstream_default,16,480,481.44,100.3,45.54,57.1,
720p,deepstream_tuned,16,480,480.18,100.0,7.11,33.9,
720p,pycamtrt,16,480,480.1,100.0,2.470,53.8,dropped=0
720p,diy_detect_only,16,480,420.0,87.5,2.988,NA,steady_state
720p,deepstream_default,24,720,722.55,100.4,73.25,85.4,
720p,deepstream_tuned,24,720,721.74,100.2,7.98,NA,
720p,pycamtrt,24,720,720.0,100.0,3.224,66.2,dropped=0
720p,diy_detect_only,24,720,420.1,58.3,3.078,NA,steady_state
720p,deepstream_default,32,960,753.07,78.4,172.24,91.1,
720p,deepstream_tuned,32,960,964.79,100.5,8.63,56.7,
720p,pycamtrt,32,960,888.4,92.5,31.418,45.2,dropped=0
720p,diy_detect_only,32,960,389.9,40.6,3.002,NA,steady_state
720p,deepstream_default,40,1200,747.10,62.3,181.43,90.7,
720p,deepstream_tuned,40,1200,1207.36,100.6,9.84,67.6,
720p,pycamtrt,40,1200,881.7,73.5,35.663,48.5,dropped=0
720p,diy_detect_only,40,1200,420.1,35.0,3.445,NA,steady_state
720p,deepstream_default,48,1440,757.41,52.6,212.19,89.4,
720p,deepstream_tuned,48,1440,1448.76,100.6,11.56,78.8,
720p,pycamtrt,48,1440,874.4,60.7,38.303,48.5,dropped=0
720p,diy_detect_only,48,1440,420.0,29.2,3.068,NA,steady_state
1080p,deepstream_default,8,240,240.60,100.2,24.70,32.7,
1080p,deepstream_tuned,8,240,240.11,100.0,7.68,21.2,
1080p,pycamtrt,8,240,240.0,100.0,2.490,29.9,dropped=0
1080p,diy_detect_only,8,240,240.0,100.0,2.637,NA,steady_state
1080p,deepstream_default,16,480,481.29,100.3,45.03,57.7,
1080p,deepstream_tuned,16,480,481.08,100.2,7.53,35.5,
1080p,pycamtrt,16,480,480.0,100.0,2.826,NA,dropped=0
1080p,diy_detect_only,16,480,360.0,75.0,2.810,NA,steady_state
1080p,deepstream_default,20,600,601.78,100.3,68.48,76.9,
1080p,deepstream_tuned,20,600,600.57,100.1,6.83,41.5,
1080p,pycamtrt,20,600,611.0,101.8,24.907,NA,dropped=0
1080p,diy_detect_only,20,600,360.1,60.0,2.760,NA,steady_state
1080p,deepstream_default,24,720,687.36,95.5,82.86,87.6,
1080p,deepstream_tuned,24,720,722.38,100.3,7.28,48.0,
1080p,pycamtrt,24,720,585.8,81.4,34.702,33.7,dropped=0
1080p,diy_detect_only,24,720,359.9,50.0,2.878,NA,steady_state
1080p,deepstream_default,28,840,688.02,81.9,81.19,87.5,
1080p,deepstream_tuned,28,840,804.51,95.8,10.34,54.8,
1080p,pycamtrt,28,840,566.6,67.5,40.907,34.0,dropped=0
1080p,diy_detect_only,28,840,333.4,39.7,5.071,NA,steady_state
1080p,deepstream_default,32,960,689.63,71.8,80.51,87.4,
1080p,deepstream_tuned,32,960,806.29,84.0,10.20,54.7,
1080p,pycamtrt,32,960,564.9,58.8,45.795,30.9,dropped=0
1080p,diy_detect_only,32,960,334.7,34.9,30.336,NA,steady_state
4k,deepstream_default,2,60,60.11,100.2,5.76,13.0,
4k,deepstream_tuned,2,60,59.83,99.7,3.49,6.5,
4k,pycamtrt,2,60,60.0,100.0,2.421,6.5,dropped=0
4k,diy_detect_only,2,60,60.0,100.0,3.681,NA,steady_state
4k,deepstream_default,4,120,120.25,100.2,11.58,20.3,
4k,deepstream_tuned,4,120,119.97,100.0,8.72,10.7,
4k,pycamtrt,4,120,120.0,100.0,4.319,NA,dropped=0
4k,diy_detect_only,4,120,120.0,100.0,4.415,NA,steady_state
4k,deepstream_default,6,180,180.41,100.2,17.25,25.3,
4k,deepstream_tuned,6,180,180.11,100.1,8.82,15.0,
4k,pycamtrt,6,180,180.0,100.0,4.802,15.0,dropped=0
4k,diy_detect_only,6,180,181.5,100.8,4.233,NA,steady_state
4k,deepstream_default,8,240,214.28,89.3,54.94,30.4,
4k,deepstream_tuned,8,240,224.53,93.6,7.81,NA,
4k,pycamtrt,8,240,218.4,91.0,14.392,NA,dropped=0
4k,diy_detect_only,8,240,207.9,86.6,2.759,NA,steady_state
720p,diy_detect_only,8,240,240.0,100.0,2.724,NA,steady_state
720p,diy_detect_only,12,360,360.0,100.0,2.748,NA,steady_state
