res,system,N,offered_fps,achieved_fps,hold_pct,post_decode_ms,gpu_util_pct,note,nvdec_util
720p,deepstream_default,16,480,480.94,100.2,49.23,63.7,,34.3
720p,deepstream_tuned,16,480,480.27,100.1,8.06,39.4,,31.5
720p,pycamtrt_original,16,480,480.0,100.0,2.813,62.1,dropped=0,31.5
720p,pycamtrt,16,480,480.0,100.0,2.778,63.9,dropped=0,31.5
720p,diy_detect_only,16,480,390.0,81.2,0.933,52.7,steady_state,28.0
720p,deepstream_default,24,720,723.10,100.4,62.95,92.8,,48.8
720p,deepstream_tuned,24,720,721.83,100.3,8.13,51.7,,46.7
720p,pycamtrt_original,24,720,720.0,100.0,3.768,75.8,dropped=0,48.5
720p,pycamtrt,24,720,720.0,100.0,3.448,80.8,dropped=0,48.5
720p,diy_detect_only,24,720,420.1,58.3,1.065,54.3,steady_state,29.7
720p,deepstream_default,32,960,759.72,79.1,171.35,98.7,,57.2
720p,deepstream_tuned,32,960,963.31,100.3,8.61,65.2,,63.4
720p,pycamtrt_original,32,960,817.5,85.2,33.743,49.7,dropped=0,55.8
720p,pycamtrt,32,960,960.0,100.0,4.613,85.0,dropped=0,64.3
720p,diy_detect_only,32,960,270.0,28.1,0.739,39.9,steady_state,18.7
720p,deepstream_default,40,1200,113.88,9.5,170.73,98.5,,52.1
720p,deepstream_tuned,40,1200,1207.39,100.6,11.46,77.9,,81.2
720p,pycamtrt_original,40,1200,812.8,67.7,38.577,49.9,dropped=0,55.2
720p,pycamtrt,40,1200,1200.0,100.0,6.025,89.9,dropped=0,78.0
720p,diy_detect_only,40,1200,420.0,35.0,1.039,56.0,steady_state,28.9
720p,deepstream_default,48,1440,765.39,53.2,208.06,96.2,,51.1
720p,deepstream_tuned,48,1440,1447.72,100.5,12.67,88.2,,93.2
720p,pycamtrt_original,48,1440,814.0,56.5,40.865,51.6,dropped=0,54.2
720p,pycamtrt,48,1440,1447.1,100.5,9.349,93.4,dropped=0,97.1
720p,diy_detect_only,48,1440,420.1,29.2,0.950,56.7,steady_state,29.0
1080p,deepstream_default,8,240,240.70,100.3,22.60,36.9,,35.1
1080p,deepstream_tuned,8,240,240.22,100.1,8.27,22.5,,32.8
1080p,pycamtrt_original,8,240,240.0,100.0,3.155,27.3,dropped=0,31.9
1080p,pycamtrt,8,240,240.0,100.0,2.499,36.8,dropped=0,33.4
1080p,diy_detect_only,8,240,240.0,100.0,0.817,33.8,steady_state,34.3
1080p,deepstream_default,16,480,480.94,100.2,54.14,68.0,,71.3
1080p,deepstream_tuned,16,480,480.32,100.1,8.27,40.9,,66.6
1080p,pycamtrt_original,16,480,480.0,100.0,3.695,52.5,dropped=0,66.7
1080p,pycamtrt,16,480,480.0,100.0,2.742,70.1,dropped=0,66.4
1080p,diy_detect_only,16,480,360.0,75.0,0.857,51.1,steady_state,50.8
1080p,deepstream_default,20,600,601.85,100.3,66.23,82.6,,84.2
1080p,deepstream_tuned,20,600,601.26,100.2,8.25,48.5,,82.1
1080p,pycamtrt_original,20,600,542.5,90.4,32.018,34.6,dropped=0,75.6
1080p,pycamtrt,20,600,600.0,100.0,3.034,79.8,dropped=0,83.9
1080p,diy_detect_only,20,600,364.0,60.7,5.935,69.6,steady_state,56.0
1080p,deepstream_default,24,720,688.55,95.6,82.45,94.3,,100.0
1080p,deepstream_tuned,24,720,714.07,99.2,10.25,59.4,,97.7
1080p,pycamtrt_original,24,720,532.5,74.0,38.217,34.9,dropped=0,73.7
1080p,pycamtrt,24,720,724.3,100.6,3.294,85.4,dropped=0,99.0
1080p,diy_detect_only,24,720,310.3,43.1,11.783,75.3,steady_state,45.4
1080p,deepstream_default,28,840,690.24,82.2,81.32,93.0,,97.7
1080p,deepstream_tuned,28,840,714.53,85.1,10.37,59.8,,100.0
1080p,pycamtrt_original,28,840,527.5,62.8,43.953,34.7,dropped=0,72.8
1080p,pycamtrt,28,840,737.3,87.8,3.277,84.9,dropped=0,98.1
1080p,diy_detect_only,28,840,291.1,34.7,10.258,76.8,steady_state,46.5
1080p,deepstream_default,32,960,690.92,72.0,81.20,93.7,,100.0
1080p,deepstream_tuned,32,960,715.51,74.5,10.24,58.9,,97.7
