
==========
== CUDA ==
==========

CUDA Version 12.6.3

Container image Copyright (c) 2016-2023, NVIDIA CORPORATION & AFFILIATES. All rights reserved.

This container image and its contents are governed by the NVIDIA Deep Learning Container License.
By pulling and using the container, you accept the terms and conditions of this license:
https://developer.nvidia.com/ngc/nvidia-deep-learning-container-license

A copy of this license is made available in this container at /NGC-DL-CONTAINER-LICENSE for your convenience.

✓ Engine loaded: models/yolov8n_plates_b1-16_fp16_sm86.engine (max batch 16)
✓ Head: 1 classes, 8400 anchors
✓ OCR (ctc) child 'read': models/lprnet_b1-32_fp32_sm86.engine (max batch 32, in 94x24, 68 classes x 18 steps)
✓ Classifier (argmax) child 'classify': models/mobilenet_v3s_b1-32_fp16_sm86.engine (max batch 32, in 224x224, 1000 classes)
relay stream 0 -> rtsp://localhost:8554/t5relay: no codec parameters yet (stream hasn't opened) - reconnecting
[h264 @ 0x77b5fc006980] reference picture missing during reorder
[h264 @ 0x77b5fc006980] Missing reference picture, default is 2
[h264 @ 0x77b61400f700] reference picture missing during reorder
[h264 @ 0x77b61400f700] reference picture missing during reorder
[h264 @ 0x77b61400f700] Missing reference picture, default is 0
[h264 @ 0x77b61400f700] Missing reference picture, default is 0
relay stream 0 -> rtsp://localhost:8554/t5relay: no codec parameters yet (stream hasn't opened) - reconnecting
relay stream 0 -> rtsp://localhost:8554/t5relay: no codec parameters yet (stream hasn't opened) - reconnecting
relay: stream 0 -> rtsp://localhost:8554/t5relay connected
HEARTBEAT t=    60s rate= 238.4/s child_ms=0.500|0.731 rss=855MB dropped=0 sink_dropped=0
HEARTBEAT t=   120s rate= 240.0/s child_ms=0.503|0.738 rss=856MB dropped=0 sink_dropped=0
HEARTBEAT t=   180s rate= 240.0/s child_ms=0.501|0.738 rss=856MB dropped=0 sink_dropped=0
HEARTBEAT t=   240s rate= 240.0/s child_ms=0.501|0.733 rss=856MB dropped=0 sink_dropped=0
HEARTBEAT t=   300s rate= 240.0/s child_ms=0.502|0.742 rss=856MB dropped=0 sink_dropped=0
HEARTBEAT t=   360s rate= 240.0/s child_ms=0.504|0.742 rss=856MB dropped=0 sink_dropped=0
HEARTBEAT t=   420s rate= 240.0/s child_ms=0.503|0.742 rss=856MB dropped=0 sink_dropped=0
HEARTBEAT t=   480s rate= 240.0/s child_ms=0.502|0.741 rss=856MB dropped=0 sink_dropped=0
HEARTBEAT t=   540s rate= 240.0/s child_ms=0.500|0.737 rss=856MB dropped=0 sink_dropped=0
HEARTBEAT t=   600s rate= 240.0/s child_ms=0.502|0.740 rss=856MB dropped=0 sink_dropped=0
HEARTBEAT t=   660s rate= 240.0/s child_ms=0.503|0.745 rss=856MB dropped=0 sink_dropped=0
HEARTBEAT t=   720s rate= 240.0/s child_ms=0.502|0.742 rss=856MB dropped=0 sink_dropped=0
HEARTBEAT t=   780s rate= 240.0/s child_ms=0.502|0.740 rss=856MB dropped=0 sink_dropped=0
HEARTBEAT t=   840s rate= 240.0/s child_ms=0.503|0.741 rss=856MB dropped=0 sink_dropped=0
HEARTBEAT t=   900s rate= 240.0/s child_ms=0.501|0.737 rss=856MB dropped=0 sink_dropped=0
HEARTBEAT t=   960s rate= 240.0/s child_ms=0.502|0.739 rss=856MB dropped=0 sink_dropped=0
HEARTBEAT t=  1020s rate= 240.0/s child_ms=0.501|0.740 rss=856MB dropped=0 sink_dropped=0
HEARTBEAT t=  1080s rate= 240.0/s child_ms=0.502|0.740 rss=856MB dropped=0 sink_dropped=0
HEARTBEAT t=  1140s rate= 240.0/s child_ms=0.501|0.739 rss=856MB dropped=0 sink_dropped=0
HEARTBEAT t=  1200s rate= 240.0/s child_ms=0.502|0.740 rss=856MB dropped=0 sink_dropped=0
HEARTBEAT t=  1260s rate= 240.0/s child_ms=0.501|0.742 rss=856MB dropped=0 sink_dropped=0
HEARTBEAT t=  1320s rate= 239.9/s child_ms=0.503|0.740 rss=856MB dropped=0 sink_dropped=0
HEARTBEAT t=  1380s rate= 240.0/s child_ms=0.502|0.743 rss=856MB dropped=0 sink_dropped=0
HEARTBEAT t=  1440s rate= 240.0/s child_ms=0.502|0.737 rss=856MB dropped=0 sink_dropped=0
HEARTBEAT t=  1500s rate= 240.0/s child_ms=0.501|0.740 rss=856MB dropped=0 sink_dropped=0
HEARTBEAT t=  1560s rate= 240.0/s child_ms=0.501|0.743 rss=856MB dropped=0 sink_dropped=0
HEARTBEAT t=  1620s rate= 240.0/s child_ms=0.501|0.741 rss=856MB dropped=0 sink_dropped=0
HEARTBEAT t=  1680s rate= 240.0/s child_ms=0.502|0.739 rss=856MB dropped=0 sink_dropped=0
HEARTBEAT t=  1740s rate= 240.0/s child_ms=0.502|0.746 rss=856MB dropped=0 sink_dropped=0
SOAK n=431906 plates=431905 wall=1800s rate=239.9/s events_lines=431906 rss_drift=8MB dropped=0 sink_dropped=0
SOAK GATES: {'rss_drift<64MB': 'PASS', 'rate_held': 'PASS', 'events==results': 'PASS', 'clean_stop': 'PASS'}
